CustomerID,Gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,Male,0,Yes,No,17,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,51.47,8108.95,No
2,Female,0,No,Yes,58,No,No,DSL,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),84.93,488.72,No
3,Male,0,Yes,Yes,58,No,No,Fiber optic,No,No internet service,No,Yes,No,No internet service,One year,No,Credit card (automatic),72.59,8601.08,No
4,Male,1,Yes,No,57,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Two year,Yes,Mailed check,65.25,2809.77,No
5,Male,0,Yes,No,7,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),63.18,2416.84,No
6,Female,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,32.52,3515.72,Yes
7,Male,1,Yes,No,58,Yes,No phone service,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,101.45,6806.89,Yes
8,Male,0,Yes,No,56,No,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,111.4,8288.63,No
9,Male,0,No,Yes,15,Yes,No,No,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,98.87,4821.81,No
10,Female,1,No,No,44,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,63.6,1356.72,Yes
11,Male,0,No,No,12,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Two year,No,Mailed check,115.96,1873.79,No
12,Male,1,No,No,8,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,80.42,3531.75,Yes
13,Male,0,Yes,Yes,41,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,One year,Yes,Mailed check,96.05,3188.45,No
14,Male,0,Yes,No,34,Yes,Yes,No,No,No,No internet service,No,Yes,No,Two year,No,Mailed check,92.74,2083.65,No
15,Female,0,No,No,46,No,No,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,89.39,7386.88,Yes
